记录ID,用途,平台,物品,数量,总价,购买日期,是否收到,是否开票,汇总ID
16618512,生日礼物,线下,334,33,3330.0,2025-09-03,否,否,2
6416536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
7293454,转正仪式,拼多多,ss11,11,111.0,2025-09-01,是,是,
641636,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
72931154,微信转账,天猫,ss,33,3311.0,2025-09-01,否,否,
6416536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
7293454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
641636,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
72931154,微信转账,天猫,ss,33,111.0,2025-09-01,否,否,
642536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
7221454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
1441454,其他,天猫,ss,1,2221.0,2025-09-02,否,否,2
16416536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
17293454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
1641636,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
172931154,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
1642536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
17221454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
11441455,转正仪式,天猫,ss,1,2221.0,2025-09-02,否,否,
16416536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
17293454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
1641636,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
172931154,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
1642536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
17221454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
11441454,转正仪式,天猫,ss,1,2221.0,2025-09-02,否,否,
116416536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
117293454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
11641636,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
1172931154,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
11642536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
117221454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
11441455,转正仪式,天猫,ss,1,2221.0,2025-09-02,否,否,
